url,activity_id,follower_count,date,description,reaction_count,comment_count
https://www.linkedin.com/company/homunity/,urn:li:activity:6792421713968799744,"2,204 followers","1w • 

 1 week ago","[ WEBINAR ]Ce jeudi à 10h, Quentin Romet et Antoine Tillet d'Homunity ainsi qu'Alex Tan et Pascale Sicurani de Bâloise Vie International vous invitent à leur webinar pour comprendre les atouts et les critères d'éligibilité du crowdfunding immobilier dans un contrat d'assurance-vie luxembourgeois.- Inscription en commentaire -#crowdfundingimmobilier #financementparticipatif #assurancevie #investisseur #investissementimmobilier",34,2 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6790968542834630656,"2,204 followers","2w • Edited • 

 2 weeks ago","[ PODCAST ]Quentin Romet était l'invité de Loic Audet sur son podcast ""Club Deal"". Cet épisode est l'occasion d'évoquer Homunity, ses projets en crowdfunding immobilier et d'échanger sur les conséquences de la crise sanitaire sur le secteur de l’immobilier neuf. Bonne écoute à tous ! - Lien en commentaire - #financementparticipatif #investissementimmobilier #investisseur",63,2 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6788739763953373185,"2,204 followers","2w • Edited • 

 2 weeks ago",Homunity annonce sa 100eme sortie positive et la 16eme depuis janvier. C’est donc 45 761 999 euros au total qui ont été remboursés aux investisseurs (capital + intérêts) dont 12 382 533 euros depuis janvier*.#financementparticipatif #crowdfunding #immobilierneuf* Les performances passées ne présagent pas des performances futures.,57,2 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6785854677083918336,"2,204 followers","1mo • 

 1 month ago","[ PODCAST ]Le co-fondateur d’Homunity.com, Quentin Romet était l'invité de Paco Debonnaire sur son podcast ""Investisseurs 4.0"". lls ont notamment échangé sur le parcours d'entrepreneur de Quentin, les conditions qui l’ont amené à créer Homunity et bien sûr du crowdfunding immobilier.Bonne écoute à tous ! #financementparticipatif #placements #investissementimmobilier",126,3 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6783358658966372352,"2,204 followers","1mo • 

 1 month ago",[ #Nomination ]Homunity continue de s'agrandir ! Nous avons le plaisir d'accueillir Mathilde Hias et Valentin Gogo au poste de Sales Development Representative (SDR).Toute l’équipe d’Homunity vous souhaite la bienvenue !,65,7 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6780061694715666432,"2,204 followers","1mo • Edited • 

 1 month ago","[ Recrutement ]Nous sommes à la recherche de nouvelles personnes pour poursuivre notre croissance et rejoindre les équipes de Yann LE BLANC, Florian Degunst, Karl de Francqueville, Romain Naudin et Dimitri Douzou. Les postes à pourvoir sont : - Business developer – CDI – Homunity- Analyste immobilier – stage – Homunity - Conseiller en investissement immobilier SCPI – CDI – Homunity Patrimoine - Conseiller en investissement immobilier VEFA - CDI – Homunity Patrimoine  - Lien en commentaire pour en savoir plus et postuler - #recrutement #CDI #stage #immobilier #paris",47,2 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6767363892780920832,"2,204 followers","2mo • 

 2 months ago","Notre Président, Quentin Romet, était l'invité de Business Immo TV, présentée par Aurélien Jouhanneau, pour dresser un bilan du #crowdfunding #immobilier en 2020 et évoquer les types de projets que Homunity a financés.Découvrez l'intégralité de l'interview dans le lien ci-dessous.#financementparticipatif #promoteur #investissement #investissementimmobilier",87,0
https://www.linkedin.com/company/homunity/,urn:li:activity:6774982272002220032,"2,204 followers","2mo • Edited • 

 2 months ago","Décideurs Magazine - Groupe Leaders League , spécialiste de l'actualité financière, a classé pour la seconde année consécutive Homunity comme plateforme de crowdfunding immobilier « incontournable ». Nous sommes très fiers de figurer dans ce classement, c’est une belle récompense pour tout le travail fourni par nos équipes.  #crowdfundingimmobilier #financementparticipatif #immobilier #investissement* Les firmes sont rangées par ordre alphabétique dans ce classement. - Lien en commentaire -",45,3 comments
https://www.linkedin.com/company/homunity/,urn:li:activity:6757310328750661632,"2,204 followers","3mo • 

 3 months ago","Malgré la crise sanitaire, Homunity a clôturé l’année avec 81 M€ levés pour le financement de 71 projets.Aussi, nous avons connu une croissance significative au niveau des remboursements avec 43 sorties positives et 22 M€ remboursés (VS 36 M€ depuis 2014).Un grand bravo à toute l'équipe d'Homunity pour ces résultats remarquables en temps de crise. #immobilier #promoteurimmobilier #investissement #financementparticipatif #crowdfundingimmobilier https://lnkd.in/gTPC486",120,1 comment
https://www.linkedin.com/company/homunity/,urn:li:activity:6772800738495225856,"2,204 followers","2mo • 

 2 months ago",[Le chiffre du jour]Homunity a levé 200 millions d'euros sur sa plateforme. Un grand merci à nos investisseurs pour leur confiance et à nos équipes pour le travail fourni. - Lien de l'article Le Courrier Financier en commentaire - #financementparticipatif #crowdfunding #immobilier #promoteurimmobilier #investissementimmobilier,89,1 comment
